ClassNum,ID,SegmentNumber,AvgSpeed,MSDPrev,TSD,AvgCosTheta,AvgDegTheta
3,"NINV43",5,1.14293842126077,48.1124695,3.88668978213902,-0.298350664829189,107.820631861401
2,"NINV44",1,0.588801784319023,14.9779431724138,2.91900493824943,-0.184295649377958,108.846633220282
2,"NINV44",2,0.751136437921489,19.343069137931,2.66188994255501,-0.244159832100809,115.72892272812
1,"NINV44",3,0.364282372514739,8.02273372727273,2.13569754094788,0.0703257942790702,79.5144756184696
2,"NINV45",1,0.699954573041535,18.930138137931,3.27370860607351,-0.444397680364462,115.921779384962
2,"NINV45",2,1.03407278209053,35.7649838275862,3.5165480267419,-0.362353826920304,131.045608421594
2,"NINV45",3,1.05082657635507,28.7809898125,2.81617515806192,-0.601878411877582,137.135845347423
3,"NINV46",1,2.69599422532208,165.702252777778,5.82065390912769,-0.647224477950811,153.779946022753
2,"NINV47",1,0.970170543514624,33.0996726896552,3.6665447295117,-0.361240238539176,121.733541664411
3,"NINV47",2,1.09572807712853,39.78102,3.77823070606928,-0.445952903564793,117.993335636769
3,"NINV47",3,1.914711813456,88.3747310344827,4.06827679246772,-0.532774104191775,142.111705554546
3,"NINV48",1,1.58332914077724,75.4301443103448,4.66259546808182,-0.508700769040487,118.615038393138
2,"NINV48",2,0.657527408160113,20.9085995,3.55090889947807,-0.664436902653026,137.362531792224
1,"NINV49",1,0.900619509704889,30.0690897241379,2.92964491772753,-0.137542817126002,99.7016427523455
2,"NINV49",2,0.431976324988039,5.82551431034483,1.69057387799596,-0.254537099434755,128.30376256142
2,"NINV49",3,0.984459173531986,20.8850036896552,2.07932389035884,-0.781634111910696,151.497052247404
2,"NINV49",4,0.605195968662716,8.63739175862069,1.66341502649535,-0.995083426082179,175.354015262028
2,"NINV49",5,0.796750394484669,18.3146758275862,2.74496666824843,-0.906532582876635,162.624499474405
2,"NINV49",6,0.532076548788201,14.64479,2.07293441505118,0.213978747530908,117.535943882033
2,"NINV49",7,0.609116488257204,10.9795375517241,2.0230897059828,-0.427680462749582,157.848856214593
2,"NINV49",8,0.664902821605993,13.1374673103448,2.23719730692326,-0.704133120312867,114.136376059346
2,"NINV49",9,0.391674059167632,5.80771363333333,1.7225618350019,-0.482344454268898,106.714074206217
3,"NINV50",1,2.10207999642967,106.073175827586,5.00206065984771,-0.463036969837194,133.955452430161
3,"NINV50",2,0.821653085382613,34.1363621724138,4.41530996014571,-0.290165202864443,105.22302951148
2,"NINV50",3,0.971448365643215,30.4205074827586,3.23394926515717,-0.383961076826608,102.715715613506
